feedback_id,user_id,product_id,rating,date,type,comment
1,2914,68,5.0,2021-01-04,その他,Feedback_1
2,1287,98,5.0,2021-05-24,サービス,Feedback_2
3,3928,57,5.0,2021-11-24,サービス,Feedback_3
4,6685,41,3.0,2021-12-30,その他,Feedback_4
5,141,28,4.0,2021-02-27,商品,Feedback_5
6,4244,58,5.0,2021-03-27,その他,Feedback_6
7,1593,32,4.0,2021-11-26,商品,Feedback_7
8,2126,6,4.0,2021-09-15,その他,Feedback_8
9,7276,4,3.0,2021-10-27,その他,Feedback_9
10,5868,28,5.0,2021-02-13,その他,Feedback_10
11,7307,80,5.0,2021-02-26,商品,Feedback_11
12,8375,31,2.0,2021-08-06,商品,Feedback_12
13,2417,76,5.0,2021-07-17,その他,Feedback_13
14,760,99,3.0,2021-05-06,サービス,Feedback_14
15,1752,15,5.0,2021-09-11,その他,Feedback_15
16,8022,88,5.0,2021-07-17,サービス,Feedback_16
17,8219,82,5.0,2021-08-06,サービス,Feedback_17
18,2458,59,4.0,2021-05-10,サービス,Feedback_18
19,8795,45,5.0,2021-08-04,商品,Feedback_19
20,7150,48,2.0,2021-06-09,商品,Feedback_20
21,381,43,4.0,2021-12-27,サービス,Feedback_21
22,3597,18,0.0,2021-02-17,サービス,Feedback_22
23,6174,10,5.0,2021-03-21,サービス,Feedback_23
24,8288,3,3.0,2021-01-27,サービス,Feedback_24
25,9549,28,5.0,2021-08-21,商品,Feedback_25
26,699,77,5.0,2021-08-29,商品,Feedback_26
27,6883,93,5.0,2021-10-07,サービス,Feedback_27
28,6139,50,5.0,2021-09-05,商品,Feedback_28
29,52,29,5.0,2021-07-17,その他,Feedback_29
30,8384,96,5.0,2021-01-22,商品,Feedback_30
31,5828,80,2.0,2021-04-25,サービス,Feedback_31
32,8415,17,0.0,2021-04-11,その他,Feedback_32
33,5865,24,2.0,2021-11-11,サービス,Feedback_33
34,8655,79,3.0,2021-04-12,サービス,Feedback_34
35,1718,55,5.0,2021-09-04,サービス,Feedback_35
36,575,98,5.0,2021-05-20,商品,Feedback_36
37,9972,55,4.0,2021-03-30,サービス,Feedback_37
38,5783,37,4.0,2021-11-12,サービス,Feedback_38
39,5319,48,0.0,2021-11-22,サービス,Feedback_39
40,3944,1,0.0,2021-12-27,商品,Feedback_40
41,6669,97,2.0,2021-05-16,その他,Feedback_41
42,2093,84,3.0,2021-04-18,その他,Feedback_42
43,1974,35,5.0,2021-04-16,サービス,Feedback_43
44,3004,99,5.0,2021-11-23,その他,Feedback_44
45,1448,43,1.0,2021-06-14,商品,Feedback_45
46,950,67,5.0,2021-09-06,その他,Feedback_46
47,6008,57,4.0,2021-05-20,商品,Feedback_47
48,2387,50,5.0,2021-12-26,その他,Feedback_48
49,5659,71,4.0,2021-08-22,その他,Feedback_49
50,8959,8,4.0,2021-01-27,サービス,Feedback_50
51,5935,48,0.0,2021-07-20,サービス,Feedback_51
52,4880,32,5.0,2021-11-15,サービス,Feedback_52
53,7381,44,5.0,2021-07-25,サービス,Feedback_53
54,6975,66,2.0,2021-03-20,商品,Feedback_54
55,3255,50,0.0,2021-12-21,その他,Feedback_55
56,8474,77,5.0,2021-06-20,商品,Feedback_56
57,4906,49,2.0,2021-08-11,サービス,Feedback_57
58,5260,1,5.0,2021-03-07,商品,Feedback_58
59,9461,17,4.0,2021-06-09,サービス,Feedback_59
60,9856,68,5.0,2021-03-06,サービス,Feedback_60
61,2055,18,3.0,2021-12-13,サービス,Feedback_61
62,1374,51,5.0,2021-05-09,サービス,Feedback_62
63,5629,26,4.0,2021-09-15,その他,Feedback_63
64,5595,4,4.0,2021-08-22,サービス,Feedback_64
65,8878,73,2.0,2021-09-20,サービス,Feedback_65
66,3279,40,4.0,2021-05-04,商品,Feedback_66
67,2229,20,5.0,2021-05-06,サービス,Feedback_67
68,4850,28,5.0,2021-06-20,商品,Feedback_68
69,8987,22,5.0,2021-08-31,その他,Feedback_69
70,1762,16,2.0,2021-06-19,商品,Feedback_70
71,2099,17,1.0,2021-01-25,その他,Feedback_71
72,5531,59,5.0,2021-02-18,商品,Feedback_72
73,9223,12,5.0,2021-06-08,商品,Feedback_73
74,287,42,5.0,2021-10-16,サービス,Feedback_74
75,5600,56,3.0,2021-11-16,サービス,Feedback_75
76,2525,53,2.0,2021-05-01,その他,Feedback_76
77,6547,76,5.0,2021-11-19,サービス,Feedback_77
78,1484,78,5.0,2021-10-18,サービス,Feedback_78
79,9556,16,3.0,2021-11-14,その他,Feedback_79
80,2970,26,2.0,2021-01-25,サービス,Feedback_80
81,1849,62,5.0,2021-05-17,サービス,Feedback_81
82,2707,66,5.0,2021-08-03,サービス,Feedback_82
83,2180,11,2.0,2021-08-28,サービス,Feedback_83
84,5543,42,5.0,2021-09-11,サービス,Feedback_84
85,7878,59,3.0,2021-11-01,サービス,Feedback_85
86,9551,84,4.0,2021-05-31,その他,Feedback_86
87,7058,5,4.0,2021-11-06,商品,Feedback_87
88,1452,56,5.0,2021-02-25,サービス,Feedback_88
89,8974,72,5.0,2021-05-29,サービス,Feedback_89
90,844,82,4.0,2021-07-10,商品,Feedback_90
91,2085,92,0.0,2021-09-16,その他,Feedback_91
92,8396,17,2.0,2021-06-30,その他,Feedback_92
93,1638,50,3.0,2021-09-05,サービス,Feedback_93
94,7232,15,5.0,2021-08-23,その他,Feedback_94
95,1177,75,4.0,2021-11-29,サービス,Feedback_95
96,1896,46,4.0,2021-05-11,サービス,Feedback_96
97,8689,79,2.0,2021-06-14,商品,Feedback_97
98,7003,34,1.0,2021-03-04,サービス,Feedback_98
99,1992,15,3.0,2021-10-12,サービス,Feedback_99
100,152,7,4.0,2021-09-03,商品,Feedback_100
101,9741,42,0.0,2021-03-09,サービス,Feedback_101
102,1882,56,5.0,2021-08-30,サービス,Feedback_102
103,7481,49,2.0,2021-10-31,サービス,Feedback_103
104,5976,96,3.0,2021-07-30,その他,Feedback_104
105,9894,23,4.0,2021-12-23,サービス,Feedback_105
106,9935,56,5.0,2021-02-24,サービス,Feedback_106
107,2009,64,5.0,2021-11-08,その他,Feedback_107
108,1924,96,5.0,2021-09-20,商品,Feedback_108
109,3904,70,4.0,2021-05-14,商品,Feedback_109
110,2475,56,2.0,2021-04-05,その他,Feedback_110
111,2963,100,5.0,2021-04-17,商品,Feedback_111
112,5645,74,5.0,2021-06-08,その他,Feedback_112
113,5023,30,3.0,2021-03-17,商品,Feedback_113
114,514,58,2.0,2021-04-14,商品,Feedback_114
115,9628,49,1.0,2021-09-15,商品,Feedback_115
116,4247,82,5.0,2021-12-07,その他,Feedback_116
117,437,84,5.0,2021-12-20,商品,Feedback_117
118,2623,27,3.0,2021-09-14,サービス,Feedback_118
119,720,49,2.0,2021-09-07,その他,Feedback_119
120,8551,80,4.0,2021-10-03,その他,Feedback_120
121,6420,39,2.0,2021-07-19,サービス,Feedback_121
122,7731,73,3.0,2021-11-08,サービス,Feedback_122
123,6358,83,5.0,2021-10-03,商品,Feedback_123
124,9186,43,1.0,2021-03-01,サービス,Feedback_124
125,44,20,5.0,2021-01-15,商品,Feedback_125
126,1008,74,5.0,2021-05-09,その他,Feedback_126
127,3955,92,5.0,2021-12-12,商品,Feedback_127
128,147,17,4.0,2021-04-13,サービス,Feedback_128
129,7778,82,3.0,2021-05-17,サービス,Feedback_129
130,3342,54,4.0,2021-06-27,サービス,Feedback_130
131,1772,72,0.0,2021-11-25,商品,Feedback_131
132,5133,50,3.0,2021-09-03,商品,Feedback_132
133,8350,11,3.0,2021-06-04,その他,Feedback_133
134,2767,2,4.0,2021-01-05,サービス,Feedback_134
135,8773,39,3.0,2021-06-01,商品,Feedback_135
136,2107,30,3.0,2021-04-06,商品,Feedback_136
137,5060,29,4.0,2021-05-26,サービス,Feedback_137
138,8520,44,4.0,2021-08-04,商品,Feedback_138
139,6180,59,0.0,2021-09-21,サービス,Feedback_139
140,5156,89,4.0,2021-04-22,サービス,Feedback_140
141,9658,57,5.0,2021-09-06,商品,Feedback_141
142,7306,40,1.0,2021-12-22,商品,Feedback_142
143,6750,74,5.0,2021-02-10,商品,Feedback_143
144,5372,5,5.0,2021-09-13,サービス,Feedback_144
145,775,11,5.0,2021-11-11,サービス,Feedback_145
146,6068,42,4.0,2021-12-19,サービス,Feedback_146
147,8123,87,2.0,2021-09-21,サービス,Feedback_147
148,5595,25,5.0,2021-09-06,サービス,Feedback_148
149,4651,65,2.0,2021-11-25,サービス,Feedback_149
150,3051,32,3.0,2021-11-02,商品,Feedback_150
151,8054,26,4.0,2021-12-09,その他,Feedback_151
152,5436,34,4.0,2021-06-27,サービス,Feedback_152
153,7974,86,1.0,2021-07-25,サービス,Feedback_153
